title,status,area,name,re_date,pre_date,corporation
국민임대,모집중,인천광역시,인천옹진백령 [행복마을] 국민임대주택 입주자격완화 입주자 모집,2022-05-30,2022-08-30,LH
매입임대,모집중,인천광역시외 1개 지역,"[정정공고]2022년 1차 인천,파주권 기존주택등 매입임대주택 입주자 모집",2022-05-27,2022-07-06,LH
매입임대,모집중,인천광역시외 1개 지역,"2022년 1차 인천,파주권 기존주택등 매입임대주택 입주자 모집",2022-05-27,2022-07-06,LH
영구임대,모집중,인천광역시,인천검단 AA-5블록 영구임대주택 추가 및 예비입주자 모집공고(22.05.25),2022-05-25,2022-10-20,LH
국민임대,모집중,인천광역시,인천주안역 오피스텔(임대) 예비입주자 모집 공고(22.05.23.공고),2022-05-23,2022-07-07,LH
국민임대,모집중,인천광역시,인천검단 AA-5블록 국민임대주택 추가 및 예비입주자 모집공고(‘22.5.18.),2022-05-18,2022-10-13,LH
행복주택,모집중,인천광역시,인천 만부마을 행복주택 예비입주자 추가 모집,2022-05-16,2022-09-07,인천도시공사
행복주택,모집중,인천광역시,인천 화수정원마을1단지 행복주택 예비입주자 추가 모집,2022-05-16,2022-09-07,인천도시공사
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
