title,status,area,name,re_date,pre_date,corporation
매입임대,모집중,서울특별시,화곡동 청년협동조합주택(그랑) 잔여세대 입주자 모집 공고(2022.06.02.),2022-06-02,2022-10-12,SH공사
국민임대,모집중,서울특별시,2022년 서울리츠2호 재개발임대주택(목동2차우성) 일반공급 입주자 모집공고(2022.05.27.공고),2022-05-27,2022-09-23,SH공사
행복주택,모집중,서울특별시,2022년 1차 서울리츠 행복주택 입주자 모집공,2022-05-27,2022-09-16,SH공사
매입임대,모집중,서울특별시,2022년 1차 지원주택 입주자모집공고(2022.05.23.),2022-05-23,2022-10-21,SH공사
매입임대,모집중,서울특별시,은평구 홀몸어르신 맞춤형 공공주택(은빛주택) 잔여세대 입주자 모집 공고,2022-05-16,2022-06-22,SH공사
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시,2022년 신혼부부 전세임대 입주자 수시모집 공고,2022-04-25,2022-06-30,SH공사
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
매입임대,모집중,서울특별시외 16개 지역,[정정공고][정정공고][전국] 자립준비청년(보호종료아동) 매입임대 입주자 수시모집 공고,2022-01-14,2022-12-31,LH
