title,status,area,name,re_date,pre_date,corporation
행복주택,모집중,전라북도,전주1산단 A-1BL 행복주택 자격완화(예비) 입주자 추가모집,2022-05-31,2022-09-07,LH
국민임대,모집중,전라북도,순창풍산 국민임대 예비입주자 모집 공고,2022-05-16,2022-09-13,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
영구임대,모집중,전라북도,완주삼봉A-1블록 영구임대주택 입주자 추가모집,2022-04-07,2022-06-30,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
매입임대,모집중,서울특별시외 16개 지역,[정정공고][정정공고][전국] 자립준비청년(보호종료아동) 매입임대 입주자 수시모집 공고,2022-01-14,2022-12-31,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 신혼부부 전세임대Ⅱ 입주자 수시모집 공고,2022-01-14,2022-12-30,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 신혼부부 전세임대Ⅰ 입주자 수시모집 공고,2022-01-14,2022-12-30,LH
