title,status,area,name,re_date,pre_date,corporation
매입임대,모집중,전라남도,[목포시] 다자녀 매입임대주택 예비입주자 모집공고,2022-05-30,2022-09-30,LH
국민임대,모집중,전라남도,나주빛가람5·나주빛가람6 국민임대주택 입주자격완화 예비입주자 모집(2022.05.17),2022-05-17,2022-09-08,LH
국민임대,모집중,전라남도,장성군 지역 국민임대주택 예비입주자 모집(2022.05.16),2022-05-16,2022-09-08,LH
국민임대,모집중,전라남도,담양군 지역 국민임대주택 예비입주자 모집(2022.05.16),2022-05-16,2022-09-08,LH
국민임대,모집중,전라남도,나주시 지역 국민임대주택 예비입주자 모집(2022.05.16),2022-05-16,2022-09-08,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅱ 입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
전세임대,모집중,서울특별시외 15개 지역,2022년 신혼부부 전세임대Ⅰ입주자 수시모집(자격완화) 공고,2022-04-25,2022-12-30,LH
국민임대,모집중,전라남도,[정정공고]전남 영암군 영암용앙1 국민임대 입주자 상시모집(동·호수 선택 가능),2022-03-31,2022-06-30,LH
국민임대,모집중,전라남도,전남 영암군 영암용앙1 국민임대 입주자 상시모집(동·호수 선택 가능),2022-03-31,2022-06-30,LH
전세임대,모집중,서울특별시외 16개 지역,[정정공고]2022년 청년 전세임대 1순위 입주자 수시모집,2022-01-14,2022-12-30,LH
